betweeness_centrality,[ 0 14 15  6]
33,"[tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
34,"[tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2')]"
35,"[tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
36,"[tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
37,"[tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
38,"[tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
39,"[tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
40,"[tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
41,"[tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
42,"[tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
43,"[tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
44,"[tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
45,"[tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
46,"[tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
47,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
48,"[tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
49,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
50,"[tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
51,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
52,"[tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
53,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
54,"[tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
55,"[tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
56,"[tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
57,"[tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
58,"[tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
59,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
60,"[tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
61,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
62,"[tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
63,"[tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
64,"[tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0031, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
65,"[tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
