betweeness_centrality,[ 0 14 15  6]
66,"[tensor(0.0039, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0031, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2')]"
67,"[tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
68,"[tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0031, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2')]"
69,"[tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
70,"[tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2')]"
71,"[tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
72,"[tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
73,"[tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
74,"[tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0031, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2')]"
75,"[tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0039, device='cuda:2')]"
76,"[tensor(0.0040, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0031, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
77,"[tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
78,"[tensor(0.0040, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0032, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
79,"[tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
80,"[tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
81,"[tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
82,"[tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
83,"[tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
84,"[tensor(0.0041, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2')]"
85,"[tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
86,"[tensor(0.0041, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0033, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0035, device='cuda:2')]"
87,"[tensor(0.0035, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0034, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
88,"[tensor(0.0042, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0036, device='cuda:2')]"
89,"[tensor(0.0037, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0036, device='cuda:2'), tensor(0.0035, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2')]"
90,"[tensor(0.0043, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0037, device='cuda:2')]"
91,"[tensor(0.0039, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0037, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2')]"
92,"[tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
93,"[tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2')]"
94,"[tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
95,"[tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
96,"[tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
97,"[tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
98,"[tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0038, device='cuda:2')]"
99,"[tensor(0.0043, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0038, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
